"Country","ISOCode","State","Abbreviation","City","ZipCode"
"Canada","CA","Alberta","AB","Airdrie","T4B 0A1"
"Canada","CA","Alberta","AB","Athabasca","T9S 1A1"
"Canada","CA","Alberta","AB","Banff","T1L 1A1"
"Canada","CA","Alberta","AB","Beaumont","T4X 1A1"
"Canada","CA","Alberta","AB","Calgary","T2P 1A1"
"Canada","CA","Alberta","AB","Camrose","T4V 1A1"
"Canada","CA","Alberta","AB","Edmonton","T5J 2N1"
"Canada","CA","Alberta","AB","Fort Saskatchewan","T8L 4P5"
"Canada","CA","Alberta","AB","Grande Prairie","T8V 0K9"
"Canada","CA","Alberta","AB","Leduc","T9E 0A1"
"Canada","CA","Alberta","AB","Lethbridge","T1J 4P4"
"Canada","CA","Alberta","AB","Medicine Hat","T1A 0A1"
"Canada","CA","Alberta","AB","Red Deer","T4N 1A1"
"Canada","CA","Alberta","AB","St. Albert","T8N 0A1"
"Canada","CA","Alberta","AB","Spruce Grove","T7X 0A1"
"Canada","CA","Alberta","AB","Strathcona County","T8A 0A1"
"Canada","CA","Alberta","AB","Wetaskiwin","T9A 0A1"
"Canada","CA","Alberta","AB","Wood Buffalo","T9H 1A1"
"Canada","CA","Alberta","AB","Okotoks","T1S 1A1"
"Canada","CA","Alberta","AB","High River","T1V 1A1"
"Canada","CA","British Columbia","BC","Abbotsford","V2S 1A1"
"Canada","CA","British Columbia","BC","Burnaby","V5A 1A1"
"Canada","CA","British Columbia","BC","Campbell River","V9W 1A1"
"Canada","CA","British Columbia","BC","Chilliwack","V2P 1A1"
"Canada","CA","British Columbia","BC","Cranbrook","V1C 0A1"
"Canada","CA","British Columbia","BC","Dawson Creek","V1G 4G4"
"Canada","CA","British Columbia","BC","Delta","V4K 3N3"
"Canada","CA","British Columbia","BC","Fort St. John","V1J 6M7"
"Canada","CA","British Columbia","BC","Kamloops","V2C 1A1"
"Canada","CA","British Columbia","BC","Kelowna","V1Y 1A1"
"Canada","CA","British Columbia","BC","Langley","V1M 2R7"
"Canada","CA","British Columbia","BC","Nanaimo","V9R 1A1"
"Canada","CA","British Columbia","BC","Prince George","V2L 1A1"
"Canada","CA","British Columbia","BC","Richmond","V6X 1A1"
"Canada","CA","British Columbia","BC","Surrey","V3T 1A1"
"Canada","CA","British Columbia","BC","Vancouver","V5K 0A1"
"Canada","CA","British Columbia","BC","Victoria","V8W 1A1"
"Canada","CA","British Columbia","BC","West Kelowna","V4T 1A1"
"Canada","CA","British Columbia","BC","White Rock","V4B 1Y6"
"Canada","CA","British Columbia","BC","Penticton","V2A 1A1"
"Canada","CA","Manitoba","MB","Brandon","R7A 1A1"
"Canada","CA","Manitoba","MB","Dauphin","R7N 1A1"
"Canada","CA","Manitoba","MB","Flin Flon","R8A 1A1"
"Canada","CA","Manitoba","MB","Morden","R6M 1A1"
"Canada","CA","Manitoba","MB","Portage la Prairie","R1N 1A1"
"Canada","CA","Manitoba","MB","Selkirk","R1A 1A1"
"Canada","CA","Manitoba","MB","Steinbach","R5G 1A1"
"Canada","CA","Manitoba","MB","Thompson","R8N 1A1"
"Canada","CA","Manitoba","MB","Winnipeg","R3B 1A1"
"Canada","CA","Manitoba","MB","Winkler","R6W 1A1"
"Canada","CA","Manitoba","MB","St. Catharines","R2J 1A1"
"Canada","CA","Manitoba","MB","St. Boniface","R2H 1A1"
"Canada","CA","New Brunswick","NB","Bathurst","E2A 1A1"
"Canada","CA","New Brunswick","NB","Bouctouche","E4S 1A1"
"Canada","CA","New Brunswick","NB","Campbellton","E3N 1A1"
"Canada","CA","New Brunswick","NB","Dieppe","E1A 1A1"
"Canada","CA","New Brunswick","NB","Edmundston","E3V 1A1"
"Canada","CA","New Brunswick","NB","Florenceville-Bristol","E7L 1A1"
"Canada","CA","New Brunswick","NB","Fredericton","E3B 1A1"
"Canada","CA","New Brunswick","NB","Grand Bay-Westfield","E5K 1A1"
"Canada","CA","New Brunswick","NB","Grand Falls","E3Z 1A1"
"Canada","CA","New Brunswick","NB","Hampton","E5N 1A1"
"Canada","CA","New Brunswick","NB","Miramichi","E1V 1A1"
"Canada","CA","New Brunswick","NB","Moncton","E1C 1A1"
"Canada","CA","New Brunswick","NB","Oromocto","E2V 1A1"
"Canada","CA","New Brunswick","NB","Quispamsis","E2E 1A1"
"Canada","CA","New Brunswick","NB","Riverview","E1B 1A1"
"Canada","CA","New Brunswick","NB","Rothesay","E2E 1A1"
"Canada","CA","New Brunswick","NB","Sackville","E4L 1A1"
"Canada","CA","New Brunswick","NB","Saint John","E2L 1A1"
"Canada","CA","New Brunswick","NB","Shediac","E4P 1A1"
"Canada","CA","New Brunswick","NB","St. George","E5C 1A1"
"Canada","CA","New Brunswick","NB","St. Stephen","E3L 1A1"
"Canada","CA","New Brunswick","NB","Sussex","E4E 1A1"
"Canada","CA","New Brunswick","NB","Tracadie-Sheila","E1X 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Bay Roberts","A0A 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Carbonear","A1Y 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Clarenville","A0E 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Conception Bay South","A1W 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Corner Brook","A2H 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Gander","A1V 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Grand Falls-Windsor","A2A 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Happy Valley-Goose Bay","A0P 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Labrador City","A2V 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Mount Pearl","A1N 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Paradise","A1L 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Port Hawkesbury","B9A 1A1"
"Canada","CA","Newfoundland and Labrador","NL","St. Anthony","A0K 1A1"
"Canada","CA","Newfoundland and Labrador","NL","St. John's","A1A 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Stephenville","A2N 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Twillingate","A0G 1A1"
"Canada","CA","Newfoundland and Labrador","NL","Wabana","A0A 1A1"
"Canada","CA","Northwest Territories","NT","Behchokǫ̀","X0E 0Y0"
"Canada","CA","Northwest Territories","NT","Fort McPherson","X0E 0J0"
"Canada","CA","Northwest Territories","NT","Fort Providence","X0E 0L0"
"Canada","CA","Northwest Territories","NT","Fort Resolution","X0E 0M0"
"Canada","CA","Northwest Territories","NT","Fort Simpson","X0E 0N0"
"Canada","CA","Northwest Territories","NT","Fort Smith","X0E 0P0"
"Canada","CA","Northwest Territories","NT","Hay River","X0E 0R0"
"Canada","CA","Northwest Territories","NT","Inuvik","X0E 0T0"
"Canada","CA","Northwest Territories","NT","Norman Wells","X0E 0V0"
"Canada","CA","Northwest Territories","NT","Tuktoyaktuk","X0E 1A0"
"Canada","CA","Northwest Territories","NT","Yellowknife","X1A 1A0"
"Canada","CA","Nova Scotia","NS","Amherst","B4H 1A1"
"Canada","CA","Nova Scotia","NS","Antigonish","B2G 1A1"
"Canada","CA","Nova Scotia","NS","Annapolis Royal","B0S 1A0"
"Canada","CA","Nova Scotia","NS","Bridgewater","B4V 1A1"
"Canada","CA","Nova Scotia","NS","Cape Breton","B1P 1A1"
"Canada","CA","Nova Scotia","NS","Dartmouth","B2Y 1A1"
"Canada","CA","Nova Scotia","NS","Digby","B0V 1A0"
"Canada","CA","Nova Scotia","NS","Halifax","B3J 1A1"
"Canada","CA","Nova Scotia","NS","Kentville","B4N 1A1"
"Canada","CA","Nova Scotia","NS","Lunenburg","B0J 2C0"
"Canada","CA","Nova Scotia","NS","New Glasgow","B2H 1A1"
"Canada","CA","Nova Scotia","NS","New Minas","B4N 1A1"
"Canada","CA","Nova Scotia","NS","Pictou","B0K 1H0"
"Canada","CA","Nova Scotia","NS","Port Hawkesbury","B9A 1A1"
"Canada","CA","Nova Scotia","NS","Sydney","B1P 1A1"
"Canada","CA","Nova Scotia","NS","Truro","B2N 1A1"
"Canada","CA","Nova Scotia","NS","Yarmouth","B5A 1A1"
"Canada","CA","Nunavut","NU","Arctic Bay","X0A 0A0"
"Canada","CA","Nunavut","NU","Arviat","X0C 0E0"
"Canada","CA","Nunavut","NU","Baker Lake","R0B 0A0"
"Canada","CA","Nunavut","NU","Cambridge Bay","X0B 0A0"
"Canada","CA","Nunavut","NU","Cape Dorset","X0A 0C0"
"Canada","CA","Nunavut","NU","Chesterfield Inlet","R0B 0A0"
"Canada","CA","Nunavut","NU","Clyde River","X0A 0E0"
"Canada","CA","Nunavut","NU","Gjoa Haven","X0A 1R0"
"Canada","CA","Nunavut","NU","Grise Fiord","X0A 0J0"
"Canada","CA","Nunavut","NU","Hall Beach","X0A 0K0"
"Canada","CA","Nunavut","NU","Igloolik","X0A 0L0"
"Canada","CA","Nunavut","NU","Iqaluit","X0A 0H0"
"Canada","CA","Nunavut","NU","Kimmirut","X0A 0N0"
"Canada","CA","Nunavut","NU","Kugaaruk","X0B 1K0"
"Canada","CA","Nunavut","NU","Naujaat","X0A 0E0"
"Canada","CA","Nunavut","NU","Pangnirtung","X0A 0R0"
"Canada","CA","Nunavut","NU","Pond Inlet","X0A 0S0"
"Canada","CA","Nunavut","NU","Qikiqtarjuaq","X0A 0T0"
"Canada","CA","Nunavut","NU","Rankin Inlet","X0C 0G0"
"Canada","CA","Nunavut","NU","Resolute","X0A 0V0"
"Canada","CA","Nunavut","NU","Sanikiluaq","X0A 0W0"
"Canada","CA","Nunavut","NU","Taloyoak","X0A 0X0"
"Canada","CA","Nunavut","NU","Whale Cove","X0C 0J0"
"Canada","CA","Ontario","ON","Ajax","L1S 1A1"
"Canada","CA","Ontario","ON","Barrie","L4M 1A1"
"Canada","CA","Ontario","ON","Belleville","K8N 1A1"
"Canada","CA","Ontario","ON","Brampton","L6W 1A1"
"Canada","CA","Ontario","ON","Brantford","N3R 1A1"
"Canada","CA","Ontario","ON","Brockville","K6V 1A1"
"Canada","CA","Ontario","ON","Burlington","L7R 1A1"
"Canada","CA","Ontario","ON","Cambridge","N1R 1A1"
"Canada","CA","Ontario","ON","Chatham","N7M 1A1"
"Canada","CA","Ontario","ON","Cornwall","K6H 1A1"
"Canada","CA","Ontario","ON","Guelph","N1H 1A1"
"Canada","CA","Ontario","ON","Hamilton","L8N 1A1"
"Canada","CA","Ontario","ON","Kenora","P9N 1A1"
"Canada","CA","Ontario","ON","Kingston","K7L 1A1"
"Canada","CA","Ontario","ON","Kitchener","N2G 1A1"
"Canada","CA","Ontario","ON","London","N6A 1A1"
"Canada","CA","Ontario","ON","Markham","L3R 1A1"
"Canada","CA","Ontario","ON","Mississauga","L5B 1A1"
"Canada","CA","Ontario","ON","Niagara Falls","L2G 1A1"
"Canada","CA","Ontario","ON","North Bay","P1B 1A1"
"Canada","CA","Ontario","ON","Oakville","L6J 1A1"
"Canada","CA","Ontario","ON","Oshawa","L1G 1A1"
"Canada","CA","Ontario","ON","Ottawa","K1A 1A1"
"Canada","CA","Ontario","ON","Peterborough","K9H 1A1"
"Canada","CA","Ontario","ON","Pickering","L1V 1A1"
"Canada","CA","Ontario","ON","Sarnia","N7T 1A1"
"Canada","CA","Ontario","ON","Sault Ste. Marie","P6A 1A1"
"Canada","CA","Ontario","ON","St. Catharines","L2R 1A1"
"Canada","CA","Ontario","ON","Sudbury","P3A 1A1"
"Canada","CA","Ontario","ON","Thunder Bay","P7B 1A1"
"Canada","CA","Ontario","ON","Timmins","P4N 1A1"
"Canada","CA","Ontario","ON","Toronto","M5A 1A1"
"Canada","CA","Ontario","ON","Vaughan","L6A 1A1"
"Canada","CA","Ontario","ON","Waterloo","N2J 1A1"
"Canada","CA","Ontario","ON","Welland","L3B 1A1"
"Canada","CA","Ontario","ON","Windsor","N9A 1A1"
"Canada","CA","Prince Edward Island","PE","Alberton","C0B 1B0"
"Canada","CA","Prince Edward Island","PE","Borden-Carleton","C0B 1X0"
"Canada","CA","Prince Edward Island","PE","Charlottetown","C1A 1A1"
"Canada","CA","Prince Edward Island","PE","Cornwall","C0A 1H0"
"Canada","CA","Prince Edward Island","PE","Georgetown","C0A 1L0"
"Canada","CA","Prince Edward Island","PE","Kensington","C0B 1M0"
"Canada","CA","Prince Edward Island","PE","Montague","C0A 1R0"
"Canada","CA","Prince Edward Island","PE","Morell","C0A 1S0"
"Canada","CA","Prince Edward Island","PE","North Rustico","C0A 1X0"
"Canada","CA","Prince Edward Island","PE","O'Leary","C0B 1V0"
"Canada","CA","Prince Edward Island","PE","Souris","C0A 2B0"
"Canada","CA","Prince Edward Island","PE","St. Peters Bay","C0A 2A0"
"Canada","CA","Prince Edward Island","PE","Stratford","C1B 1A1"
"Canada","CA","Prince Edward Island","PE","Summerside","C1N 1A1"
"Canada","CA","Prince Edward Island","PE","Tignish","C0B 2B0"
"Canada","CA","Prince Edward Island","PE","Tyne Valley","C0B 2C0"
"Canada","CA","Quebec","QC","Acton Vale","J0H 1A0"
"Canada","CA","Quebec","QC","Alma","G8B 1A1"
"Canada","CA","Quebec","QC","Amos","J9T 1A1"
"Canada","CA","Quebec","QC","Asbestos","J1T 1A1"
"Canada","CA","Quebec","QC","Baie-Comeau","G4Z 1A1"
"Canada","CA","Quebec","QC","Baie-Saint-Paul","G3Z 1A1"
"Canada","CA","Quebec","QC","Beauceville","G5X 1A1"
"Canada","CA","Quebec","QC","Beauharnois","J6N 1A1"
"Canada","CA","Quebec","QC","Beloeil","J3G 1A1"
"Canada","CA","Quebec","QC","Blainville","J7C 1A1"
"Canada","CA","Quebec","QC","Boisbriand","J7G 1A1"
"Canada","CA","Quebec","QC","Boucherville","J4B 1A1"
"Canada","CA","Quebec","QC","Brossard","J4W 1A1"
"Canada","CA","Quebec","QC","Chambly","J3L 1A1"
"Canada","CA","Quebec","QC","Chandler","G0C 1A1"
"Canada","CA","Quebec","QC","Châteauguay","J6K 1A1"
"Canada","CA","Quebec","QC","Chicoutimi","G7H 1A1"
"Canada","CA","Quebec","QC","Coaticook","J1A 1A1"
"Canada","CA","Quebec","QC","Cowansville","J2K 1A1"
"Canada","CA","Quebec","QC","Dolbeau-Mistassini","G8L 1A1"
"Canada","CA","Quebec","QC","Drummondville","J2B 1A1"
"Canada","CA","Quebec","QC","Gatineau","J8T 1A1"
"Canada","CA","Quebec","QC","Granby","J2G 1A1"
"Canada","CA","Quebec","QC","Hull","J8Y 1A1"
"Canada","CA","Quebec","QC","Joliette","J6E 1A1"
"Canada","CA","Quebec","QC","La Malbaie","G5A 1A1"
"Canada","CA","Quebec","QC","La Prairie","J5R 1A1"
"Canada","CA","Quebec","QC","La Tuque","G9X 1A1"
"Canada","CA","Quebec","QC","Lachute","J8H 1A1"
"Canada","CA","Quebec","QC","Lachine","H8S 1A1"
"Canada","CA","Quebec","QC","Lac-Megantic","G6B 1A1"
"Canada","CA","Quebec","QC","Laval","H7N 1A1"
"Canada","CA","Quebec","QC","Lebel-sur-Quevillon","G8T 1A1"
"Canada","CA","Quebec","QC","Lennoxville","J1M 1A1"
"Canada","CA","Quebec","QC","Longueuil","J4K 1A1"
"Canada","CA","Quebec","QC","Lorraine","J6Z 1A1"
"Canada","CA","Quebec","QC","Magog","J1X 1A1"
"Canada","CA","Quebec","QC","Matane","G4W 1A1"
"Canada","CA","Quebec","QC","Mercier","J6R 1A1"
"Canada","CA","Quebec","QC","Mirabel","J7J 1A1"
"Canada","CA","Quebec","QC","Mont-Laurier","J9L 1A1"
"Canada","CA","Quebec","QC","Montreal","H1A 1A1"
"Canada","CA","Quebec","QC","Mont-Tremblant","J8E 1A1"
"Canada","CA","Quebec","QC","New Richmond","G0C 1A1"
"Canada","CA","Saskatchewan","SK","Regina","S4P 1A1"
"Canada","CA","Saskatchewan","SK","Saskatoon","S7K 1A1"
"Canada","CA","Saskatchewan","SK","Prince Albert","S6V 1A1"
"Canada","CA","Saskatchewan","SK","Moose Jaw","S6H 1A1"
"Canada","CA","Saskatchewan","SK","Yorkton","S3N 1A1"
"Canada","CA","Saskatchewan","SK","Swift Current","S9H 1A1"
"Canada","CA","Saskatchewan","SK","North Battleford","S9A 1A1"
"Canada","CA","Saskatchewan","SK","Estevan","S4A 1A1"
"Canada","CA","Saskatchewan","SK","Weyburn","S4H 1A1"
"Canada","CA","Saskatchewan","SK","Lloydminster","S9V 1A1"
"Canada","CA","Saskatchewan","SK","Warman","S0K 4S0"
"Canada","CA","Saskatchewan","SK","Martensville","S0K 2T0"
"Canada","CA","Saskatchewan","SK","Meadow Lake","S9X 1A1"
"Canada","CA","Saskatchewan","SK","Melville","S0A 2P0"
"Canada","CA","Saskatchewan","SK","Humboldt","S0K 2A0"
"Canada","CA","Saskatchewan","SK","Kindersley","S0L 1S0"
"Canada","CA","Saskatchewan","SK","Tisdale","S0E 1T0"
"Canada","CA","Saskatchewan","SK","Nipawin","S0E 1P0"
"Canada","CA","Saskatchewan","SK","Melfort","S0E 1A0"
"Canada","CA","Saskatchewan","SK","Assiniboia","S0H 0B0"
"Canada","CA","Saskatchewan","SK","Maple Creek","S0N 1N0"
"Canada","CA","Saskatchewan","SK","Shaunavon","S0N 2M0"
"Canada","CA","Saskatchewan","SK","Leader","S0N 1H0"
"Canada","CA","Saskatchewan","SK","Gull Lake","S0N 1A0"
"Canada","CA","Saskatchewan","SK","Swift Current","S9H 1A1"
"Canada","CA","Saskatchewan","SK","North Battleford","S9A 1A1"
"Canada","CA","Saskatchewan","SK","Estevan","S4A 1A1"
"Canada","CA","Saskatchewan","SK","Weyburn","S4H 1A1"
"Canada","CA","Saskatchewan","SK","Lloydminster","S9V 1A1"
"Canada","CA","Saskatchewan","SK","Warman","S0K 4S0"
"Canada","CA","Saskatchewan","SK","Martensville","S0K 2T0"
"Canada","CA","Saskatchewan","SK","Meadow Lake","S9X 1A1"
"Canada","CA","Saskatchewan","SK","Melville","S0A 2P0"
"Canada","CA","Saskatchewan","SK","Humboldt","S0K 2A0"
"Canada","CA","Saskatchewan","SK","Kindersley","S0L 1S0"
"Canada","CA","Saskatchewan","SK","Tisdale","S0E 1T0"
"Canada","CA","Saskatchewan","SK","Nipawin","S0E 1P0"
"Canada","CA","Saskatchewan","SK","Melfort","S0E 1A0"
"Canada","CA","Saskatchewan","SK","Assiniboia","S0H 0B0"
"Canada","CA","Saskatchewan","SK","Maple Creek","S0N 1N0"
"Canada","CA","Saskatchewan","SK","Shaunavon","S0N 2M0"
"Canada","CA","Saskatchewan","SK","Leader","S0N 1H0"
"Canada","CA","Saskatchewan","SK","Gull Lake","S0N 1A0"
"Canada","CA","Yukon","YT","Whitehorse","Y1A 1A1"
"Canada","CA","Yukon","YT","Dawson City","Y0B 1G0"
"Canada","CA","Yukon","YT","Watson Lake","Y0A 1C0"
"Canada","CA","Yukon","YT","Haines Junction","Y0B 1L0"
"Canada","CA","Yukon","YT","Carmacks","Y0B 1C0"
"Canada","CA","Yukon","YT","Faro","Y0B 1K0"
"Canada","CA","Yukon","YT","Mayo","Y0B 1M0"
"Canada","CA","Yukon","YT","Ross River","Y0B 1S0"
"Canada","CA","Yukon","YT","Teslin","Y0B 1B0"
"Canada","CA","Yukon","YT","Old Crow","Y0B 1N0"
"Canada","CA","Yukon","YT","Beaver Creek","Y0B 1A0"
"Canada","CA","Yukon","YT","Burwash Landing","Y0B 1V0"
"Canada","CA","Yukon","YT","Carcross","Y0B 1B0"
"Canada","CA","Yukon","YT","Destruction Bay","Y0B 1H0"
"Canada","CA","Yukon","YT","Elsa","Y0B 1J0"
"Canada","CA","Yukon","YT","Haines Junction","Y0B 1L0"
"Canada","CA","Yukon","YT","Marsh Lake","Y0B 1Y0"
"Canada","CA","Yukon","YT","Pelly Crossing","Y0B 1P0"
"Canada","CA","Yukon","YT","Ross River","Y0B 1S0"
"Canada","CA","Yukon","YT","Snag","Y0B 1T0"
"Canada","CA","Yukon","YT","Tagish","Y0B 1T0"
"Canada","CA","Yukon","YT","Teslin","Y0B 1B0"
"Canada","CA","Yukon","YT","Upper Liard","Y0B 1W0"
"Canada","CA","Yukon","YT","Whitehorse","Y1A 1A1"
